"","QKEY","INTERVIEW_START_W70","INTERVIEW_END_W70","DEVICE_TYPE_W70","LANG_W70","XATTEND_W70","FORM_W70","SPIRIT1_a_W70","SPIRIT1_b_W70","SPIRIT1_c_W70","SPIRIT1_d_W70","SPIRIT2_a_W70","SPIRIT2_b_W70","SPIRIT2_c_W70","SPIRIT2_d_W70","COVIDRF_W70","COVIDVOL1_a_W70","COVIDVOL1_b_W70","COVIDVOL1_c_W70","COVIDVOL2_a_W70","COVIDVOL2_b_W70","COVIDVOL2_c_W70","BRAND1_W70","BRAND2_W70","BRAND3_a_W70","BRAND3_b_W70","ATTENDMONTH_W70","ATTENDONLINE_W70","ATTENDFUT1_W70","ATTENDFUT2_W70","COVIDCONG2_W70","COVIDCONG3_W70","COVIDCONG4_W70","CONGRESTRICT1_a_W70","CONGRESTRICT1_b_W70","CONGRESTRICT1_c_W70","CONGRESTRICT1_d_W70","CONGRESTRICT2_a_W70","CONGRESTRICT2_b_W70","CONGRESTRICT2_c_W70","CONGRESTRICT2_d_W70","ATTENDCONF_W70","CONGDONATE_W70","ONLINESATIS_W70","ONLINEOTH_W70","ONLINESERV_W70","SERMONISSUE_a_W70","SERMONISSUE_b_W70","SERMONISSUE_c_W70","SERMONISSUE_d_W70","SERMONISSUE_e_W70","SERMONISSUE_f_W70","SERMONISSUE_g_W70","SERMONTRUMP_W70","SERMONBIDEN_W70","COVIDLESSON1_W70","COVIDLESSON2_W70","COVIDTHREAT_a_W70","COVIDTHREAT_b_W70","COVIDTHREAT_c_W70","COVIDTHREAT_d_W70","SNSUSE_W70","CONTACTTRAC1_W70","CONTACTTRAC2_W70","CONTACTPHONEF1_W70","CONTACTHOMEF2_W70","CTKNOW1_W70","SECUR1_W70","SHAREINFO1_a_W70","SHAREINFO1_b_W70","SHAREINFO1_c_W70","HEALTHRECF1_W70","WHYNOTQUARF1_a_W70","WHYNOTQUARF1_b_W70","WHYNOTQUARF1_c_W70","WHYNOTQUARF1_d_W70","WHYNOTQUARF1_e_W70","HEALTHRECF2_W70","WHYDIFFICULTF2_a_W70","WHYDIFFICULTF2_b_W70","WHYDIFFICULTF2_c_W70","WHYDIFFICULTF2_d_W70","WHYDIFFICULTF2_e_W70","RECSAFE_a_W70","RECSAFE_b_W70","RECSAFE_c_W70","RECSAFE_d_W70","RECSAFE_e_W70","CVDATAACCEPT_a_W70","CVDATAACCEPT_b_W70","CVDATAACCEPT_c_W70","CVDATAACCEPT_d_W70","SOCIALPOL_W70","SNSRATE_W70","CHOICE1_W70","QCHANGE1_W70","SOCEFF1_a_W70","SOCEFF1_b_W70","SOCEFF1_c_W70","SOCEFF1_d_W70","SOCEFF1_e_W70","ELECTFTGSNSINT_W70","TALKDISASNSINT_W70","TALKCMNSNSINT_W70","SM9_a_W70","SM9_b_W70","SM9_c_W70","SM9_d_W70","SM9_e_W70","PARTY_W70","PARTYLN_W70","PARTYSTR_W70","F_METRO","F_CREGION","F_CDIVISION","F_AGECAT","F_SEX","F_EDUCCAT","F_EDUCCAT2","F_HISP","F_RACECMB","F_RACETHNMOD","F_CITIZEN","F_NATIVITY2","F_MARITAL","F_RELIG","F_BORN","F_RELTRAD","F_ATTEND","F_PARTY_FINAL","F_PARTYLN_FINAL","F_PARTYSUM_FINAL","F_INCOME","F_INCOME_RECODE","F_REG","F_IDEO","F_ACSWEB","F_VOLSUM","F_HISP_ORIGIN","F_YEARSINUS","F_PARTYSUMIDEO","WEIGHT_W70"
"11",101493,2020-07-14 21:06:00,2020-07-14 21:30:33,2,1,2,2,5,5,1,1,4,5,2,1,2,2,2,2,2,2,2,4,1,4,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,2,1,1,3,NA,1,4,2,1,1,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4,4,4,4,4,2,4,4,4,1,2,1,1,3,2,4,2,1,2,1,2,2,1,2,4,2,1,NA,2,1,4,9,3,1,2,3,1,1,3,1,1,1,10,NA,1e+05,6,1,NA,1,6,2,1,2,1,2,1,1,1,0.70086740444219
"12",102009,2020-07-14 15:46:52,2020-07-14 16:01:44,3,1,2,1,2,5,1,1,5,5,2,1,1,1,2,1,2,2,2,3,1,3,1,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,2,1,2,1,2,NA,1,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,3,1,3,4,3,1,2,2,2,3,3,2,3,3,2,2,2,3,1,3,3,1,2,NA,1,1,3,7,4,1,2,3,2,1,1,1,1,1,10,NA,1e+05,6,2,NA,2,9,1,1,4,1,1,6,1,4,0.29915026744716
"13",102932,2020-07-15 00:24:29,2020-07-15 00:58:41,1,1,2,2,5,5,1,1,5,5,1,1,1,1,2,1,2,2,2,3,1,2,3,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,3,1,1,2,NA,1,2,2,1,1,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,2,1,3,3,2,1,3,3,2,1,1,1,1,2,2,1,3,1,1,1,2,2,3,2,3,3,2,NA,1,2,3,7,4,1,1,6,2,1,1,1,1,1,12,NA,1e+05,6,2,NA,2,9,1,1,5,1,1,6,1,4,0.230854533682117
"14",103060,2020-07-14 18:04:05,2020-07-14 18:52:53,1,1,2,2,5,5,4,5,1,4,1,1,1,2,1,1,2,2,2,1,1,1,1,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,2,2,2,2,NA,1,1,2,1,1,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,2,1,NA,2,2,1,1,1,1,NA,2,2,NA,1,1,1,1,1,NA,NA,NA,2,1,3,3,1,2,NA,1,1,3,5,4,2,2,4,2,1,1,1,1,1,12,NA,1e+05,6,2,NA,2,99,99,1,3,1,2,6,1,3,0.706638170628822
"15",103094,2020-07-14 21:39:39,2020-07-16 16:02:22,2,1,2,1,5,1,1,1,1,1,3,1,1,1,1,1,2,2,2,1,1,1,1,2,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,1,2,2,3,3,1,1,1,1,2,2,1,2,1,3,NA,2,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,3,3,3,3,3,3,2,2,2,1,2,3,2,3,3,2,2,2,3,3,3,2,2,4,1,NA,1,1,2,2,2,3,2,99,99,99,99,1,99,2,99,10000,99,4,1,1,2,3,NA,99,1,99,6,1,9,4.06716881028181
"16",103379,2020-07-15 17:39:05,2020-07-15 18:13:28,3,1,1,1,1,5,1,1,1,1,2,1,2,2,1,1,2,2,2,1,2,NA,NA,2,1,3,2,99,2,2,1,2,2,2,1,1,2,2,3,3,2,1,2,1,2,1,2,2,1,2,4,4,1,1,2,3,1,1,2,2,2,3,NA,3,2,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,4,4,2,4,4,4,NA,2,1,NA,2,4,2,2,4,NA,NA,NA,4,1,3,4,1,1,NA,1,1,3,5,4,1,2,3,2,1,1,1,1,1,1,1,1100,2,1,NA,1,9,1,1,2,1,1,6,1,1,0.455457168809555
"17",103519,2020-07-15 01:31:15,2020-07-15 01:44:52,1,1,1,1,5,5,1,2,2,3,1,1,1,2,1,1,2,2,2,2,1,2,1,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,2,3,2,1,2,2,2,1,2,2,1,2,4,4,1,2,1,1,1,2,2,2,2,2,NA,1,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,3,3,4,4,4,4,NA,3,2,NA,2,2,2,3,2,NA,NA,NA,2,3,2,2,3,3,2,NA,1,2,3,3,1,1,6,2,1,1,1,1,1,2,2,10000,3,3,2,2,9,1,1,3,1,1,6,1,3,0.277039308068506
"18",103611,2020-07-14 21:09:31,2020-07-14 21:25:28,2,1,1,2,4,5,1,3,4,5,2,1,1,2,2,2,2,2,2,4,1,3,1,2,1,3,3,1,3,2,NA,NA,NA,NA,1,1,1,2,2,3,2,2,1,2,2,1,2,2,2,2,4,4,1,2,1,1,1,1,1,2,1,NA,1,4,2,1,2,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4,2,4,4,2,3,4,4,4,2,2,2,2,4,2,3,4,2,2,2,2,4,1,2,4,1,3,1,NA,1,1,2,4,2,1,6,2,1,1,1,1,6,2,2,10000,2,3,1,1,3,3,1,3,1,1,6,1,2,0.575689940917205
"19",103677,2020-07-14 21:34:33,2020-07-14 21:45:56,2,1,2,2,3,5,1,2,2,5,4,1,2,1,2,2,2,2,2,4,1,4,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,2,1,1,1,2,2,NA,4,1,2,4,4,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4,3,4,4,4,4,4,4,4,2,2,1,2,2,2,3,4,4,2,2,2,4,3,3,3,1,1,NA,1,1,1,2,2,1,2,4,2,1,1,1,1,1,2,2,10000,4,1,NA,1,9,1,1,1,1,1,6,1,1,0.801983894487222
"20",103956,2020-07-15 14:42:58,2020-07-15 14:58:13,1,1,2,2,2,5,1,2,4,5,2,1,1,2,2,1,2,2,2,2,1,2,1,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,1,1,2,2,2,1,NA,1,1,2,1,1,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,2,1,NA,2,1,1,2,3,2,NA,2,2,NA,3,2,3,2,2,NA,NA,NA,2,1,3,2,2,2,NA,1,1,2,3,4,2,1,5,2,1,1,1,1,2,11,NA,90002,5,2,NA,2,4,2,1,4,1,2,6,1,4,0.671544045537585
"21",104210,2020-07-15 16:48:37,2020-07-15 17:08:21,2,1,2,1,5,5,3,5,5,5,2,1,1,1,2,2,2,2,2,1,1,3,1,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,2,2,1,1,1,1,NA,2,2,1,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,2,1,4,4,2,1,2,1,2,3,2,2,3,1,3,1,2,1,2,1,2,2,2,NA,2,1,1,2,2,2,3,2,2,1,1,1,1,2,12,NA,1e+05,6,2,NA,2,2,3,1,5,1,2,6,1,4,1.99705266214879
"22",104272,2020-07-18 15:51:25,2020-07-18 15:56:36,2,1,2,2,4,5,2,1,1,5,1,1,1,1,2,1,2,2,2,1,1,1,2,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,1,3,1,2,1,NA,1,2,3,1,2,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,2,3,2,1,1,4,4,3,3,2,2,2,1,1,1,1,1,2,2,2,3,2,3,2,3,2,NA,1,1,2,3,2,1,2,3,2,1,1,1,1,1,2,2,10000,5,2,NA,2,8,1,1,4,1,1,6,1,4,0.503227727698517
"23",104368,2020-07-14 20:03:24,2020-07-14 20:59:26,1,1,1,2,1,5,1,1,1,2,2,1,1,1,1,2,2,2,2,2,1,3,1,1,1,3,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,2,1,4,2,NA,1,2,1,2,1,3,1,NA,3,1,2,1,1,4,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,4,4,4,3,3,2,4,4,4,1,2,1,2,1,1,2,1,1,3,2,2,1,3,1,1,1,3,1,NA,1,3,7,4,1,3,2,2,1,1,1,1,5,1,1,1100,1,3,1,1,3,3,1,2,1,1,6,1,1,0.972330459290024
"24",104417,2020-07-16 20:33:36,2020-07-16 21:45:21,2,1,1,2,5,5,1,2,1,2,1,1,1,1,1,1,2,2,2,1,1,2,1,2,1,3,3,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,1,2,2,1,1,2,1,2,2,4,4,1,1,1,1,1,3,1,2,2,NA,1,1,2,1,1,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,2,2,2,2,1,2,2,2,2,3,2,2,2,2,2,2,2,3,1,2,2,2,1,2,3,2,NA,1,1,2,4,4,2,1,6,2,1,1,1,1,1,1,2,1200,3,2,NA,2,8,1,1,4,1,1,6,1,4,0.34451851250787
"25",104491,2020-07-14 23:00:12,2020-07-14 23:11:02,1,1,2,1,4,5,4,2,5,1,1,1,2,2,2,2,2,2,2,3,2,NA,NA,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,1,1,2,3,1,3,NA,3,2,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,3,3,NA,2,3,2,3,3,3,NA,2,1,NA,3,3,3,3,2,NA,NA,NA,2,2,3,3,2,2,NA,1,1,4,9,4,2,2,3,2,1,1,1,6,1,12,NA,1e+05,6,2,NA,2,6,2,1,5,1,2,6,4,4,1.46982241202893
"26",104689,2020-07-14 23:59:14,2020-07-15 00:14:51,2,1,1,1,5,5,1,4,1,4,1,1,1,1,2,2,2,2,2,1,1,1,2,2,2,3,NA,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,2,1,3,1,2,NA,3,3,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,3,2,2,3,2,NA,1,2,2,3,4,2,3,2,2,1,1,1,1,5,1,2,1200,2,2,NA,2,3,3,1,3,1,1,6,1,3,0.707049890281015
"27",104727,2020-07-16 01:16:44,2020-07-16 01:29:03,2,1,2,1,5,5,5,5,5,5,5,5,1,2,2,2,2,2,2,2,1,2,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,3,2,2,1,2,1,2,NA,3,3,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,2,2,4,4,4,4,1,3,2,2,2,3,2,1,1,3,2,1,2,1,1,1,1,1,NA,2,2,2,3,3,1,3,2,2,1,1,1,1,1,2,2,10000,5,1,NA,1,8,1,1,3,1,2,6,1,2,4.13347734537265
"28",105124,2020-07-14 18:57:46,2020-07-14 19:15:56,1,1,1,1,5,5,1,1,1,1,2,1,2,2,1,1,2,2,2,4,1,2,1,2,1,3,3,1,2,2,1,1,1,1,1,1,1,1,2,3,1,2,1,2,1,1,2,2,1,2,4,4,1,2,1,2,1,2,1,2,2,3,NA,1,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,2,2,2,4,2,3,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,NA,1,1,3,5,3,1,1,6,2,1,1,1,1,1,2,2,10000,1,1,NA,1,9,1,1,1,1,1,6,1,1,0.297057728545054
"29",105205,2020-07-14 23:06:53,2020-07-14 23:27:07,1,1,1,1,5,5,1,2,1,2,2,1,1,2,1,2,2,2,2,4,1,3,1,1,1,3,2,1,2,2,1,1,1,2,1,1,1,2,1,3,1,1,2,1,1,1,1,1,1,1,3,3,1,1,1,3,1,3,2,2,2,4,NA,2,2,3,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,2,2,2,2,2,2,NA,2,1,NA,1,2,1,2,1,NA,NA,NA,2,1,1,2,2,1,NA,1,1,2,3,3,2,2,4,2,1,1,1,1,1,2,2,10000,2,1,NA,1,8,1,1,2,1,1,6,1,1,0.577046711589813
"30",105269,2020-07-15 03:10:56,2020-07-15 03:24:50,2,1,1,1,5,5,1,1,5,5,4,2,1,2,2,1,2,2,2,3,1,4,1,2,1,3,3,2,2,2,1,1,3,2,1,1,1,2,3,3,1,1,1,99,2,1,1,2,1,2,4,4,1,2,1,1,1,1,1,2,2,2,NA,2,2,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,4,3,2,1,3,2,4,2,2,2,2,3,2,2,3,1,2,2,2,3,1,2,4,1,3,2,NA,1,2,4,4,1,1,6,2,1,1,1,1,1,2,2,10000,3,3,2,2,6,2,1,3,1,1,6,1,3,0.282402106574833
